COSMIC ID,AMHR2,AMH,UBE2I,LAMA3,EEF2K,MDM2,PTPN7,ELK1,VEGFD,SMAD9,MAP2K3,MAP2K4,PLD2,SMAD1,LAMB1,CISH,NRAS,LAMA1,GNAI1,ARF6,MAPT,DBNL,KALRN,IL5,MAPK1,PLCG1,GNAO1,KRAS,LAMB3,MAP2K6,HDAC4,SNTA1,SMAD5,RAB11FIP3,VEGFA,XPO1,GNAZ,RAN,LAMA5,SUMO1,HDAC1,MAP3K8,FOS,STMN1,PLAUR,VEGFC,ITGA6,CCND1,STAT5A,PRKCB,CRKL,RAC1,PIAS1,SMAD4,RAF1,LAT,GNAI3,PRKCA,NME1,LCP2,NRP2,FLT1,LYN,ACVR1,PTPN11,SDCBP,JUN,GNAI2,RAB11A,LAMC2,MAP4K1,TLX2,FLT4,MAPK13,CRK,VEGFB,LAMB2,KDR,ITGB4,MAP2K1,MAPK8,MAP3K7,MAPK12,BRAF,RANBP2,RHOA,PIM1,FKBP1A,HRAS,BMP7,RANGAP1,PGF,GNA13,GRB2,GNA12,BMPR2,ARF1,TIAM1,PIK3CA,CDC42,MAP3K20,NRP1,PIK3R1,PIAS2,IL5RA,MAP3K1,PLD1,PKN1,CSF2RB,LAMA2,MAPK3,S1PR4,STAT5B,PIP5K1A,S1PR5,GRAP2,JAK2,LAMC1
1503369,0.0,3.86,7.2431,7.8744,3.0036,5.582,0.1506,4.2411,0.0144,0.189,5.2384,4.904,4.7538,3.5135,5.5629,2.511,4.2705,2.0286,0.7049,5.8485,0.3448,6.7638,3.6645,0.0841,6.5279,5.2211,0.5361,4.9359,8.2871,3.8084,2.3896,3.4777,4.9662,3.8924,4.4283,7.4355,0.2141,9.8227,7.5826,7.6278,7.2439,4.649,8.3173,9.1761,6.0868,3.3951,6.7219,7.9303,3.6599,0.0,5.1827,9.47,5.0103,6.1326,6.414,2.6439,2.4303,3.9288,7.2893,0.903,5.4983,0.3448,4.375,3.9383,5.7858,7.1484,7.0868,7.9246,8.1347,8.8592,0.4751,0.0566,0.1243,4.6171,5.91,5.7382,7.5288,0.0286,8.7027,5.9319,6.0944,4.915,2.373,3.6859,4.5801,9.3217,4.0179,8.18,6.6174,0.0,5.3968,0.3103,4.7798,6.73,6.1558,4.5503,8.334,3.1077,4.3154,8.1453,4.26,5.2032,3.2957,2.9126,0.0286,4.7787,3.126,5.2776,0.0566,0.6229,6.038,0.1506,4.5832,5.6585,0.9635,0.0426,1.8639,6.3749
1240215,0.0286,1.0496,6.8878,1.1375,3.281,4.9639,0.111,4.4303,0.0286,0.275,5.3653,4.4809,4.4809,4.0652,7.8178,1.5705,6.1297,0.0566,3.189,6.2651,2.101,6.7411,2.8699,0.0976,6.2384,6.9699,4.1579,3.8104,2.1763,0.0976,2.7463,4.7522,5.0963,4.4296,6.5726,6.7151,0.4647,10.212,3.4168,6.5764,6.5198,3.0909,4.2743,8.4484,5.4306,5.1839,1.7442,7.1373,0.1506,0.0426,4.3363,8.1352,4.488,5.634,6.3366,1.4114,3.516,5.7795,7.8376,0.0144,5.9752,0.0144,0.0286,4.8273,6.8495,7.0576,5.9986,7.9156,7.4114,0.6041,0.263,0.3103,0.0,0.4957,5.5311,6.0626,6.7377,0.0286,0.696,5.7716,5.4928,4.2016,4.4222,3.4764,4.6932,8.9348,3.6679,8.7289,6.2112,0.0566,6.1187,0.3334,4.7777,6.1892,6.6172,4.1465,8.2028,2.7442,3.4276,7.6616,5.6264,7.2755,4.7618,4.1667,0.0144,2.8237,2.5874,4.7098,0.0,0.7225,5.477,0.0144,5.3726,5.3052,0.1506,0.0841,3.0374,7.4141
753563,0.0144,1.7824,7.5544,0.0704,3.8914,7.7525,6.3565,6.897,0.1635,0.5753,4.5601,4.6264,3.8639,3.1859,1.7655,0.856,5.3618,0.0566,0.0976,5.3837,1.4222,5.3757,1.0286,0.2141,5.5457,4.4249,0.0566,3.121,0.8237,1.1243,2.7485,0.4436,4.742,4.6971,6.2685,6.27,1.2327,10.1967,1.2327,6.3773,6.0529,5.478,2.0356,7.0467,1.2388,0.0976,0.3219,0.4005,6.2311,5.8417,5.2724,7.033,5.0139,5.9392,5.5561,1.157,2.359,0.251,6.9569,5.2623,2.7225,3.1779,6.4756,0.6781,5.9526,5.8153,3.7845,6.1229,7.2333,0.0426,7.0138,0.2987,0.0144,2.7268,3.8904,6.1623,0.3785,0.0144,0.8797,6.1206,7.1828,4.1375,5.5103,4.6479,4.6247,8.7036,5.0286,7.9993,4.557,0.0841,5.114,1.433,5.2075,5.9699,4.2242,3.6633,8.2754,2.3785,4.8797,7.318,3.9625,0.8156,7.0216,2.4141,0.0704,3.6576,5.8829,6.5987,2.2928,0.0566,5.2735,4.3813,5.4588,5.5859,0.0144,6.4335,3.6241,6.192
998189,0.0144,0.3103,6.9728,3.9616,3.1144,6.1058,0.0426,4.4515,0.1506,3.373,5.7107,4.1391,4.6673,4.3111,6.6535,2.0942,5.1069,0.0841,3.4621,6.1342,0.3561,5.4692,2.5969,0.0841,5.953,5.8883,0.0,4.251,5.7021,5.0281,3.1619,3.1875,4.8565,4.3778,8.8876,6.7339,1.0909,9.384,5.9944,6.9158,7.2337,3.3277,8.7832,8.2273,4.4542,0.0,8.3799,8.0312,3.5435,0.0,4.7908,7.627,4.3441,5.9141,6.0083,2.0738,2.8339,3.4725,6.5,0.0,0.9928,0.0286,4.1359,3.7856,5.9083,5.8146,6.9239,5.2913,7.6226,5.1334,0.7049,0.2388,0.0,5.1603,5.0631,4.3674,6.0736,0.0,6.8647,4.8634,5.3677,4.1018,4.5844,3.4141,4.8728,8.715,5.6188,7.2815,5.3823,6.0314,5.554,0.585,4.4209,5.7027,4.3576,3.4542,8.4042,0.0704,2.991,7.3131,4.4482,3.7613,4.696,4.1659,0.0,3.3001,3.009,5.7054,0.0,0.0704,5.854,0.3219,4.6088,4.479,0.0,0.1506,3.1811,4.2817
910691,0.2141,3.1827,6.6021,4.0126,4.7425,4.7766,0.0704,4.3547,0.0566,4.406,3.5607,3.7485,3.0036,3.7495,6.1753,2.1408,4.0959,1.6229,4.765,5.6082,4.2913,5.8848,3.0858,0.2265,5.4114,6.6972,5.738,3.3909,0.3674,2.9819,2.101,4.8787,3.7312,5.2273,5.6727,6.5527,5.5373,9.676,5.3625,6.7949,7.3637,1.9855,7.2108,10.7109,4.8369,0.9184,1.4699,0.5945,1.6229,0.111,5.2657,7.221,4.9864,5.4343,6.1564,0.6599,3.8972,2.8115,8.3706,0.0144,3.9891,0.0144,3.2869,3.7581,5.8587,5.89,6.353,5.4689,7.2505,1.3391,2.1953,4.3413,3.4751,1.9928,5.0609,5.8094,4.6223,0.0286,1.3505,5.7661,4.3632,3.8166,5.7175,3.9439,4.0488,8.5858,4.7687,7.394,6.0824,0.251,6.3537,4.5509,4.1301,5.3957,4.06,4.0678,8.9548,3.4712,2.4751,7.2677,3.9079,0.275,3.6053,3.6439,0.0426,2.9946,1.4542,7.3515,0.0286,1.6871,6.2917,0.0976,4.6112,6.8516,3.2585,0.4542,1.144,4.3653
908141,0.0144,4.0179,7.254,0.0,4.26,5.7471,7.0206,4.5027,0.0286,1.0566,4.5662,3.7268,1.5753,2.6041,0.669,3.0161,5.641,0.0,0.5753,6.3932,0.3448,6.2952,0.0144,0.0704,5.9286,3.9317,0.0286,4.8777,1.6369,2.275,3.8738,1.269,4.0626,3.6229,5.7509,7.3686,0.0,10.824,0.4005,7.1347,5.9057,2.2869,5.0755,9.1981,4.0772,0.0144,2.9222,0.669,3.8836,5.5376,5.2055,7.5626,5.7276,5.9406,6.0652,3.278,2.6276,3.6542,7.3898,5.9593,2.342,0.0704,5.7436,2.5898,6.4984,6.9052,2.7527,8.2836,7.5103,0.0426,2.2296,0.0144,0.0286,1.1635,3.6381,5.6568,0.0426,0.0,1.5945,5.5692,5.0909,4.9373,3.5033,3.5922,4.8263,9.2029,4.0081,7.0723,4.8515,0.0286,6.4888,1.0704,5.2559,7.286,4.814,2.6088,8.4722,2.4983,3.9326,7.4158,5.6982,0.0286,5.1461,3.7949,0.0,4.942,2.9616,6.1479,2.1635,0.2141,4.9864,0.0704,4.9986,4.985,0.0286,0.111,3.2675,4.1906
1480360,0.0426,2.5753,6.9619,3.8248,3.3533,2.969,0.263,5.1276,0.0426,0.189,4.4316,2.5336,2.516,2.5583,7.7323,0.4647,4.8733,1.0496,4.4283,5.7366,0.111,6.3885,0.1243,0.0,5.5792,5.0794,0.1763,3.8992,3.0925,0.5558,2.0942,3.6029,3.842,5.106,6.7545,6.2664,0.2141,10.0329,6.6993,6.8056,6.6666,1.2987,8.1272,8.8178,7.2399,5.5786,5.278,7.9167,1.9336,0.189,4.9189,8.0476,3.2525,4.861,6.5511,1.7991,4.1835,4.2668,9.4152,0.1243,3.7814,0.0,1.6041,4.054,5.7929,6.7119,7.0098,8.1021,8.0702,2.9336,0.3896,0.0,0.0976,1.7049,4.4581,4.7159,6.9391,0.1763,3.3132,6.2296,4.5674,3.8875,4.8485,2.7506,4.2165,9.4336,2.7137,8.8351,6.285,0.0,6.8653,4.0968,3.5546,5.7282,5.8704,3.5934,8.5995,0.0841,2.7355,7.8043,4.8817,7.1964,3.4168,3.06,0.0,0.7398,2.0496,7.2979,0.0,0.8074,5.0466,0.1243,4.06,5.2884,0.0426,0.0566,1.4751,7.1382
908156,0.0,1.157,6.9217,0.0704,3.4423,5.842,6.5204,3.5198,0.0,0.3219,4.8475,2.9088,2.0738,0.0566,0.5656,5.0426,4.0409,0.0144,0.9107,5.5625,0.3103,6.6482,0.0286,0.0,4.6259,3.4751,0.0566,2.9486,1.0144,1.0215,2.7247,1.269,2.4303,3.5398,5.2983,6.2581,0.4751,9.6857,1.4854,6.8278,6.9437,2.4033,4.8826,9.2921,5.7175,0.0286,0.3448,0.5753,3.8248,3.6971,4.4121,7.2356,4.1683,3.7602,5.6616,5.0618,3.4841,1.5753,8.5043,5.2114,0.0566,0.0841,3.8125,1.4542,4.6112,5.4915,1.5753,7.6496,6.1369,0.0426,4.6542,0.0566,0.0566,0.7824,3.585,4.3234,0.4436,0.0144,1.2869,4.7549,3.7004,3.9709,5.272,2.2048,3.1342,8.8471,6.6693,7.5443,5.2687,0.0,6.2955,1.3334,3.8125,7.4962,3.8063,0.7312,7.9775,0.4114,1.9561,7.3193,4.3903,0.84,2.7613,1.9298,0.0,3.5801,1.8115,6.5601,3.437,0.0144,4.3547,0.1763,3.9699,3.9607,0.546,0.1375,1.9891,2.696
907795,0.0,3.3576,6.6389,4.6982,2.5558,6.7977,0.0144,4.0721,0.0566,0.2141,5.7527,4.1579,3.85,4.3327,5.5768,1.7613,4.6011,0.2016,3.4316,5.7541,0.189,5.8324,3.3016,0.0144,5.5705,4.0592,0.0,4.4699,5.9612,5.6135,2.8679,1.0,5.0751,3.0321,6.1098,6.55,0.6323,9.6984,5.4656,5.6232,6.7007,4.1843,6.9533,7.1349,4.9959,0.0,7.3118,6.2728,2.7115,0.0,4.4229,8.1729,4.1301,5.3988,5.1538,1.6915,2.5311,2.4114,7.5961,0.0,3.1457,0.0,3.6519,2.5632,5.6582,6.7552,5.3604,4.851,8.3671,5.9864,0.0144,0.5361,0.0,5.0968,4.9561,4.5589,5.7721,0.0,7.6977,4.9083,4.7533,3.5135,2.511,2.9449,4.4581,8.4254,4.2913,7.7607,4.8866,5.7046,5.8304,0.1243,4.14,5.2731,3.7772,1.7782,8.5362,0.0,2.9782,6.2223,3.9317,4.06,4.7517,2.6182,0.0,3.6229,3.7082,4.2891,0.0286,0.4005,6.266,0.6323,4.047,4.7479,0.0,0.0,2.157,5.8824
1480360,0.0426,2.5753,6.9619,3.8248,3.3533,2.969,0.263,5.1276,0.0426,0.189,4.4316,2.5336,2.516,2.5583,7.7323,0.4647,4.8733,1.0496,4.4283,5.7366,0.111,6.3885,0.1243,0.0,5.5792,5.0794,0.1763,3.8992,3.0925,0.5558,2.0942,3.6029,3.842,5.106,6.7545,6.2664,0.2141,10.0329,6.6993,6.8056,6.6666,1.2987,8.1272,8.8178,7.2399,5.5786,5.278,7.9167,1.9336,0.189,4.9189,8.0476,3.2525,4.861,6.5511,1.7991,4.1835,4.2668,9.4152,0.1243,3.7814,0.0,1.6041,4.054,5.7929,6.7119,7.0098,8.1021,8.0702,2.9336,0.3896,0.0,0.0976,1.7049,4.4581,4.7159,6.9391,0.1763,3.3132,6.2296,4.5674,3.8875,4.8485,2.7506,4.2165,9.4336,2.7137,8.8351,6.285,0.0,6.8653,4.0968,3.5546,5.7282,5.8704,3.5934,8.5995,0.0841,2.7355,7.8043,4.8817,7.1964,3.4168,3.06,0.0,0.7398,2.0496,7.2979,0.0,0.8074,5.0466,0.1243,4.06,5.2884,0.0426,0.0566,1.4751,7.1382
